OUTBOUND_SOLAR_ZENITH_ANGLE,OUTBOUND_ALTITUDE
131.6,3223.0
148.7,2480.0
139.0,2743.0
136.8,2799.0
138.9,2665.0
140.1,2574.0
134.9,2692.0
132.2,2762.0
149.3,2202.0
124.8,2982.0
128.0,2742.0
128.3,2664.0
132.1,2430.0
132.9,2343.0
134.8,2238.0
121.1,2786.0
129.3,2313.0
131.8,2359.0
129.8,2723.0
134.0,2407.0
135.6,2385.0
137.3,2349.0
141.0,2263.0
143.6,2161.0
142.0,2372.0
145.1,2260.0
148.4,2123.0
150.4,2195.0
145.7,2466.0
154.0,2158.0
140.3,2813.0
155.6,2198.0
155.2,2278.0
141.1,2847.0
140.5,2888.0
140.2,2913.0
148.6,2568.0
137.8,3031.0
141.6,2848.0
145.9,2666.0
148.5,2567.0
138.9,2941.0
151.9,2714.0
142.5,2740.0
135.8,3015.0
137.3,2919.0
126.2,3501.0
139.9,2750.0
135.5,2916.0
157.0,2206.0
136.7,2797.0
132.2,2972.0
149.2,2237.0
138.9,2475.0
147.4,2185.0
128.4,2853.0
118.4,3419.0
135.2,2438.0
129.1,2654.0
135.4,2331.0
131.7,2427.0
112.5,3552.0
136.9,2146.0
135.2,2151.0
121.5,2691.0
132.5,2141.0
127.7,2256.0
134.1,2050.0
122.7,2353.0
127.2,2071.0
117.2,2429.0
111.4,2731.0
118.9,2075.0
108.2,2494.0
112.2,2041.0
0.0,0.0
28.1,1999.0
56.9,1951.0
58.5,1949.0
60.1,1947.0
61.7,1945.0
63.3,1943.0
64.9,1942.0
0.0,0.0
127.4,2864.0
139.1,2146.0
140.7,2125.0
136.8,2458.0
132.6,2810.0
129.0,3160.0
142.9,2320.0
145.8,2268.0
129.2,3258.0
122.0,3836.0
125.9,3518.0
156.3,2065.0
145.1,2447.0
167.4,1958.0
143.7,2533.0
145.9,2450.0
144.4,2500.0
151.8,2260.0
143.4,2528.0
151.8,2248.0
140.2,2527.0
125.4,3194.0
134.1,2697.0
153.9,2022.0
140.1,2354.0
145.1,2164.0
131.7,2621.0
128.4,2690.0
140.8,2146.0
127.0,2665.0
137.4,2175.0
137.2,2139.0
122.0,2778.0
136.8,2026.0
128.0,2296.0
126.1,2269.0
137.4,1885.0
134.7,1894.0
133.3,1890.0
0.0,0.0
129.8,1870.0
128.4,1867.0
115.4,2284.0
122.7,1902.0
105.1,2882.0
105.5,2752.0
106.4,2373.0
115.4,1855.0
105.8,1952.0
48.5,1856.0
102.8,1789.0
0.0,0.0
119.3,2581.0
117.8,2986.0
114.9,3567.0
0.0,0.0
0.0,0.0
120.0,3238.0
121.0,3196.0
125.6,2778.0
134.7,2071.0
135.5,2100.0
129.9,2589.0
125.1,3044.0
129.1,2750.0
144.8,1947.0
0.0,0.0
146.8,1991.0
141.1,2265.0
153.2,1845.0
149.5,1982.0
142.6,2274.0
136.0,2587.0
142.7,2290.0
129.7,2936.0
125.1,3223.0
139.2,2444.0
126.7,3094.0
113.4,4090.0
127.7,3002.0
126.4,3061.0
124.7,3149.0
139.6,2367.0
152.1,1970.0
142.6,2204.0
142.9,2176.0
123.7,3037.0
127.2,2797.0
147.5,1975.0
122.1,3024.0
132.7,2427.0
131.6,2442.0
120.9,2976.0
152.1,1766.0
139.6,2027.0
139.1,2008.0
139.5,1960.0
130.9,2229.0
140.1,1871.0
142.0,1790.0
133.0,2015.0
122.1,2457.0
137.8,1786.0
122.5,2325.0
118.3,2504.0
126.6,2021.0
121.5,2140.0
119.1,2205.0
99.9,3415.0
113.2,2198.0
0.0,0.0
0.0,0.0
116.3,1701.0
115.0,1695.0
116.3,1633.0
93.5,3308.0
107.4,1830.0
7.6,1618.0
107.3,2858.0
126.3,2516.0
0.0,0.0
132.8,2130.0
0.0,0.0
134.7,2233.0
125.7,2821.0
147.8,1713.0
137.5,2154.0
137.9,2148.0
130.7,2530.0
130.3,2559.0
138.5,2148.0
126.6,2773.0
127.0,2744.0
138.6,2148.0
137.1,2208.0
131.4,2470.0
141.6,2020.0
135.6,2248.0
0.0,0.0
131.4,2412.0
142.7,1941.0
141.2,1975.0
146.1,1810.0
123.9,2715.0
137.4,2052.0
140.1,1931.0
139.1,1940.0
139.8,1892.0
132.7,2095.0
139.5,1817.0
137.9,1838.0
127.3,2224.0
131.8,1988.0
132.8,1913.0
