INBOUND_SOLAR_ZENITH_ANGLE,INBOUND_ALTITUDE
132.2,1611.0
124.6,2143.0
131.9,1486.0
120.1,2459.0
127.1,1711.0
124.7,1844.0
127.2,1250.0
126.8,1390.0
124.3,1545.0
120.3,1248.0
117.4,1245.0
115.7,1218.0
108.0,1409.0
105.1,1937.0
98.7,1189.0
101.4,1440.0
97.6,1689.0
95.3,1526.0
87.7,1419.0
73.2,1191.0
94.7,1331.0
95.0,1372.0
94.9,1791.0
106.9,1349.0
112.0,1488.0
130.5,1371.0
118.0,1847.0
135.1,1375.0
115.3,2368.0
135.3,1545.0
121.0,2257.0
155.1,1511.0
132.6,1826.0
148.8,1456.0
134.4,1873.0
0.0,0.0
144.1,1646.0
120.2,2742.0
147.5,1663.0
132.7,1808.0
124.7,1485.0
123.8,1701.0
119.8,1722.0
117.3,2043.0
113.4,2215.0
113.1,1750.0
108.7,1625.0
107.2,1599.0
100.2,1865.0
99.0,2184.0
85.7,1524.0
104.1,1615.0
112.2,1992.0
110.9,1622.0
119.5,1872.0
114.7,1632.0
119.1,1603.0
120.8,1643.0
123.3,1704.0
118.5,2022.0
0.0,0.0
136.2,1640.0
137.6,1674.0
0.0,0.0
123.5,2315.0
138.1,1801.0
141.9,1777.0
134.3,2038.0
140.6,1877.0
142.8,1886.0
142.9,1914.0
159.8,1680.0
149.4,1817.0
140.9,2066.0
143.2,2022.0
141.4,2105.0
140.1,2177.0
151.8,1876.0
143.0,2127.0
134.2,2510.0
132.7,2602.0
138.6,2362.0
148.0,2056.0
147.3,2087.0
134.4,2595.0
137.9,2445.0
167.8,1727.0
147.0,2115.0
158.7,1821.0
153.7,1918.0
144.8,2180.0
139.6,2383.0
150.9,1940.0
133.0,2689.0
135.6,2535.0
145.9,2010.0
145.4,1995.0
139.8,2217.0
139.6,2190.0
130.4,2715.0
143.4,1902.0
139.4,2060.0
136.6,2165.0
139.8,1901.0
139.5,1834.0
129.9,2398.0
0.0,0.0
126.1,2588.0
0.0,0.0
126.9,1842.0
120.5,2486.0
122.6,1764.0
117.5,2668.0
117.2,2529.0
129.2,2384.0
144.9,1925.0
130.1,2538.0
142.0,2132.0
138.1,2403.0
159.1,1943.0
156.0,2003.0
