DATETIME,INBOUND_ALTITUDE,OUTBOUND_ALTITUDE
1980-08-01 15:36:43,784.0,758.0
1980-08-02 15:39:26,658.0,461.0
1980-08-03 15:42:09,1168.0,446.0
1980-08-04 15:44:53,1195.0,479.0
1980-08-05 15:47:37,823.0,379.0
1980-08-06 15:50:21,522.0,497.0
1980-08-07 15:53:06,853.0,473.0
1980-08-08 15:55:51,515.0,356.0
1980-08-09 15:58:37,947.0,516.0
1980-08-10 16:01:23,501.0,332.0
1980-08-11 16:04:09,592.0,380.0
1980-08-12 16:06:56,1013.0,662.0
1980-08-13 16:09:44,588.0,373.0
1980-08-14 16:12:32,385.0,313.0
1980-08-15 16:15:20,546.0,400.0
1980-08-16 16:18:09,918.0,656.0
1980-08-17 16:20:58,473.0,384.0
1980-08-18 16:23:47,999.0,537.0
1980-08-19 16:26:37,670.0,528.0
1980-08-20 16:29:28,815.0,533.0
1980-08-21 16:32:18,428.0,331.0
1980-08-22 16:35:09,535.0,382.0
1980-08-23 16:38:01,412.0,374.0
1980-08-24 16:40:52,0.0,327.0
1980-08-25 16:43:44,1049.0,589.0
1980-08-26 16:46:36,656.0,431.0
1980-08-27 16:49:28,347.0,358.0
1980-08-28 16:52:20,377.0,0.0
1980-08-29 16:55:13,454.0,370.0
1980-08-30 16:58:05,668.0,465.0
1980-08-31 17:00:58,0.0,361.0
1980-09-01 17:03:51,556.0,376.0
1980-09-04 17:12:29,343.0,328.0
1980-09-05 17:15:22,372.0,351.0
1980-09-06 17:18:14,480.0,347.0
1980-09-08 17:23:58,382.0,339.0
1980-09-09 17:26:50,581.0,369.0
1980-09-10 17:29:41,355.0,363.0
1980-09-15 17:43:53,546.0,595.0
1980-09-16 17:46:42,395.0,424.0
1980-09-17 17:49:31,371.0,355.0
1980-09-18 17:52:19,394.0,379.0
1980-09-19 17:55:07,382.0,478.0
1980-09-20 17:57:54,498.0,360.0
1980-09-21 18:00:40,0.0,373.0
1980-09-22 18:03:26,859.0,607.0
1980-09-23 18:06:12,600.0,383.0
1980-09-24 18:08:57,439.0,360.0
1980-09-25 18:11:41,544.0,529.0
1980-09-26 18:14:25,679.0,570.0
1980-09-27 18:17:08,740.0,881.0
1980-09-28 18:19:50,0.0,401.0
1980-09-29 18:22:32,424.0,378.0
1980-10-01 18:27:53,557.0,623.0
1980-10-02 18:30:33,552.0,513.0
1980-10-03 18:33:13,495.0,367.0
1980-10-04 18:35:51,1328.0,1116.0
1980-10-05 18:38:29,1008.0,635.0
1980-10-06 18:41:07,817.0,698.0
1980-10-07 18:43:44,758.0,0.0
1980-10-08 18:46:20,378.0,377.0
1980-10-09 18:48:56,0.0,935.0
1980-10-11 18:54:06,588.0,472.0
1980-10-12 18:56:41,0.0,658.0
1980-10-13 18:59:15,637.0,697.0
1980-10-16 19:06:54,859.0,921.0
1980-10-18 19:11:58,821.0,1032.0
