OUTBOUND_SOLAR_ZENITH_ANGLE,OUTBOUND_LATITUDE
100.5,-14.2
104.4,-31.5
102.1,-5.8
106.6,-26.4
106.5,-12.7
106.9,-5.8
104.5,11.7
108.2,3.5
111.3,4.3
116.4,-23.7
117.8,-24.4
118.8,-11.2
120.7,-15.9
122.2,-19.5
123.0,-27.6
125.2,-18.6
122.1,11.8
125.6,-32.9
129.4,-5.9
131.3,-12.0
132.4,-4.3
133.8,-18.9
129.9,-35.5
137.1,-15.8
136.9,10.4
139.3,-23.2
134.1,-36.0
144.1,-15.9
137.2,-33.5
144.1,-22.8
143.0,-26.8
139.9,-32.8
137.3,-37.0
131.1,-44.9
125.6,-51.0
129.7,-46.9
140.5,-35.3
141.9,-34.1
143.2,-33.0
120.9,-55.5
131.7,-45.1
153.3,-23.0
144.1,-32.9
142.3,-34.7
138.5,-38.2
127.8,-48.2
137.5,-38.9
155.3,-21.7
145.0,-31.2
131.0,-44.1
132.8,-42.0
132.3,-42.0
142.1,-32.4
138.6,-35.2
130.1,-42.7
133.8,-38.6
144.3,-27.6
132.1,-39.0
142.4,-27.9
128.0,-41.7
128.4,-40.6
135.2,-32.7
145.1,-20.5
136.6,-29.2
151.9,-7.4
133.9,-29.9
129.4,-33.9
127.0,-34.4
127.5,-32.5
136.8,-18.1
135.5,-18.2
123.6,-33.4
0.0,0.0
116.8,-36.7
116.7,-35.1
0.0,0.0
0.0,0.0
127.3,-8.5
129.4,3.5
114.3,-29.4
116.8,-22.2
111.5,-29.9
107.7,-34.7
108.3,-31.3
0.0,0.0
113.1,-13.8
106.8,-22.8
105.1,-23.5
99.3,-34.6
101.0,-27.2
105.8,-8.3
102.9,-13.1
100.5,-15.8
98.9,-16.3
0.0,0.0
0.0,0.0
87.7,-36.3
93.9,-6.3
96.4,11.6
93.3,4.8
85.4,-23.5
87.9,-5.2
87.4,-0.8
81.5,-13.9
0.0,0.0
83.3,9.3
81.2,13.0
71.3,-11.2
67.8,-3.9
56.1,-9.9
55.6,-1.8
50.7,-2.5
31.4,11.8
35.5,4.9
